round	alorithm1	algorithm2	algorithm3	algorithm4	algorithm5	algorithm6
1	5e-06	2e-06	2e-06	0.030817	0.127639	0.012271
2	1e-06	0	1e-06	0.011519	0.128284	0.013234
3	1e-06	0	1e-06	0.011366	0.12056	0.012295
4	1e-06	1e-06	1e-06	0.011405	0.121612	0.012396
5	1e-06	0	1e-06	0.011396	0.120719	0.012269
6	1e-06	0	1e-06	0.011353	0.121627	0.012302
7	1e-06	0	1e-06	0.011408	0.120612	0.012282
8	1e-06	1e-06	1e-06	0.0114	0.120952	0.012273
9	1e-06	0	1e-06	0.011248	0.121906	0.012268
10	0	1e-06	0	0.011351	0.120505	0.012278
11	1e-06	0	1e-06	0.011343	0.121412	0.012431
12	1e-06	1e-06	0	0.011388	0.120917	0.01227
13	1e-06	1e-06	0	0.011421	0.120545	0.012247
14	0	1e-06	0	0.011361	0.120505	0.012257
15	1e-06	0	0	0.011455	0.120587	0.012251
16	1e-06	1e-06	0	0.011403	0.122318	0.01225
17	1e-06	0	1e-06	0.011359	0.123154	0.012257
18	1e-06	1e-06	1e-06	0.011421	0.12059	0.012286
19	1e-06	0	1e-06	0.011395	0.120817	0.012317
20	0	1e-06	0	0.011397	0.120411	0.012308
21	2e-06	0	1e-06	0.011402	0.121044	0.012393
22	1e-06	0	0	0.011399	0.121389	0.01353
23	1e-06	1e-06	1e-06	0.012421	0.120406	0.012282
24	1e-06	1e-06	0	0.011389	0.120539	0.012289
25	1e-06	0	1e-06	0.01138	0.121189	0.012302
26	1e-06	0	1e-06	0.011544	0.120899	0.012285
27	1e-06	1e-06	0	0.011396	0.12072	0.01228
28	1e-06	0	0	0.011389	0.121724	0.012312
29	1e-06	1e-06	0	0.01142	0.121919	0.01334
30	0	1e-06	0	0.011405	0.120311	0.012284
