m;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;Tempo Médio Recursivo;variance;std_deviation;ci;ci_upper;ci_lower
4;0,000021;0,00002;0,000022;0,000022;0,000026;0,000021;0,00002;0,000021;0,000021;0,000026;0,000019;0,000021;0,000021;0,00002;0,000021;0,000022;0,000021;0,000019;0,000021;0,000021;0,000019;0,000019;0,000022;0,000021;0,00002;0,000022;0,000022;0,000019;0,00002;0,000022;2,10666666666667E-05;2,82298850574713E-12;1,68017514139066E-06;1,92357185318039E-08;2,10859023851985E-05;2,10474309481349E-05
5;0,000045;0,000041;0,000049;0,000042;0,000042;0,000042;0,000042;0,000041;0,000044;0,000043;0,000041;0,000045;0,000043;0,000042;0,000045;0,000043;0,000042;0,000042;0,000041;0,000045;0,000041;0,000041;0,000044;0,000044;0,00004;0,000044;0,000043;0,000042;0,000044;0,000044;0,0000429;3,40344827586207E-12;1,84484369957513E-06;2,112094939747E-08;4,29211209493975E-05;4,28788790506025E-05
6;0,000097;0,000088;0,000096;0,000098;0,000093;0,000096;0,000098;0,000143;0,000097;0,000097;0,000096;0,000087;0,000097;0,000095;0,000092;0,000099;0,00009;0,000093;0,000094;0,000097;0,000089;0,000098;0,000101;0,000099;0,000086;0,000098;0,000086;0,000098;0,000088;0,000098;9,61333333333333E-05;9,7016091954023E-11;9,84967471310718E-06;1,12765369361636E-07;9,6246098702695E-05;9,60205679639717E-05
7;0,000189;0,000204;0,000192;0,000201;0,000207;0,000221;0,000206;0,000206;0,000196;0,000193;0,000218;0,000218;0,000209;0,000203;0,0002;0,000189;0,000202;0,000213;0,000215;0,000217;0,000208;0,000197;0,000204;0,000205;0,000219;0,000219;0,000222;0,000189;0,000198;0,000187;0,0002049;1,12713793103448E-10;1,06166752377309E-05;1,21546481426653E-07;0,0002050215;0,0002047785
8;0,000463;0,000421;0,00043;0,000434;0,000487;0,000439;0,00046;0,000482;0,000462;0,000492;0,000442;0,000422;0,000447;0,000461;0,000459;0,000483;0,000446;0,000482;0,00048;0,000464;0,000464;0,000461;0,000429;0,000445;0,000454;0,000448;0,000464;0,000433;0,000433;0,000461;0,0004549333;3,9447816091954E-10;1,9861474288671E-05;2,27386847735004E-07;0,0004551607;0,0004547059
9;0,000985;0,00103;0,001004;0,000998;0,00102;0,000997;0,000983;0,001035;0,001035;0,001012;0,001013;0,000999;0,001014;0,001004;0,001003;0,00099;0,000947;0,001051;0,00103;0,001007;0,000962;0,001;0,001019;0,001028;0,000995;0,001006;0,001006;0,001049;0,001031;0,000962;0,0010071667;5,94419540229884E-10;2,43807206667458E-05;2,79126067750227E-07;0,0010074458;0,0010068875
10;0,002005;0,002054;0,001988;0,002003;0,001987;0,00204;0,002069;0,002018;0,002011;0,00201;0,00204;0,001973;0,001985;0,002014;0,001923;0,002002;0,001981;0,002008;0,001939;0,002086;0,001981;0,002027;0,001973;0,002012;0,001971;0,002089;0,001973;0,002057;0,001978;0,002102;0,0020099667;1,82775747126436E-09;4,27522803048488E-05;4,89455420615371E-07;0,0020104561;0,0020094772
11;0,00436;0,004326;0,004386;0,004373;0,004394;0,004405;0,004487;0,004418;0,004365;0,004416;0,004349;0,004392;0,004386;0,00446;0,00448;0,00438;0,004381;0,004372;0,004488;0,00438;0,004375;0,004442;0,004394;0,00436;0,004372;0,004394;0,004399;0,004492;0,004378;0,004433;0,0044012333;1,89046091954022E-09;4,34794309937494E-05;4,97780306299802E-07;0,0044017311;0,0044007356
12;0,009606;0,009532;0,009529;0,009533;0,009628;0,009475;0,009545;0,009606;0,009537;0,009666;0,009594;0,009598;0,009591;0,009672;0,009556;0,00957;0,009538;0,009642;0,009613;0,009606;0,009687;0,009616;0,009671;0,009649;0,009606;0,009682;0,009525;0,009597;0,009579;0,00953;0,0095926333;0,000000003;5,48706839215896E-05;6,28194648023224E-07;0,0095932615;0,0095920051
13;0,02091;0,021129;0,020898;0,020904;0,020986;0,020947;0,020823;0,021121;0,021239;0,020901;0,021229;0,021142;0,02113;0,020968;0,020829;0,021042;0,021227;0,021181;0,021172;0,021026;0,020979;0,02101;0,02114;0,020977;0,021086;0,02097;0,021003;0,021033;0,020945;0,020868;0,0210271667;1,4645316091954E-08;0,0001210178;1,38548948291571E-06;0,0210285522;0,0210257812
14;0,032388;0,032481;0,032205;0,032178;0,032157;0,032337;0,032393;0,032502;0,032507;0,03229;0,032402;0,032097;0,032079;0,032047;0,032329;0,032402;0,032279;0,032248;0,032477;0,032313;0,032443;0,032574;0,032273;0,032711;0,032146;0,032364;0,032208;0,032513;0,032393;0,032416;0,0323384;2,46094206896552E-08;0,0001568739;0,000001796;0,032340196;0,032336604
15;0,053901;0,053491;0,0536;0,053227;0,053728;0,05358;0,053518;0,053673;0,053358;0,053711;0,053472;0,053634;0,053736;0,05367;0,053482;0,053761;0,053789;0,053745;0,053644;0,054089;0,053768;0,053942;0,053543;0,053219;0,05466;0,053748;0,05359;0,053228;0,053182;0,056092;0,0537260333;0,000000283;0,0005319372;0,00000609;0,0537321233;0,0537199434
16;0,089219;0,089037;0,089436;0,088867;0,089297;0,089489;0,089109;0,089106;0,088983;0,089008;0,08876;0,088504;0,088882;0,089585;0,088288;0,08986;0,08938;0,088939;0,089277;0,088507;0,089053;0,089317;0,088685;0,089437;0,088825;0,089893;0,088985;0,089448;0,088801;0,088949;0,0890975333;1,43497843678162E-07;0,0003788111;4,33687141859753E-06;0,0891018702;0,0890931965
17;0,268681;0,267588;0,266893;0,268285;0,269275;0,272224;0,268304;0,268071;0,288634;0,282689;0,266465;0,267788;0,268627;0,26682;0,268388;0,267644;0,26771;0,268652;0,268487;0,268303;0,268072;0,26683;0,268264;0,269347;0,267307;0,268298;0,267701;0,26843;0,266736;0,268616;0,2693043;2,14958280793103E-05;0,0046363594;0,00005308;0,26935738;0,26925122
18;0,460652;0,459522;0,461113;0,458976;0,461309;0,463718;0,462518;0,464507;0,461083;0,461675;0,462174;0,47051;0,464244;0,459367;0,463104;0,460414;0,463766;0,458652;0,464864;0,4619;0,462895;0,462233;0,462101;0,463584;0,460827;0,459931;0,463791;0,462132;0,464401;0,461164;0,4622375667;5,39785928850573E-06;0,0023233294;0,000026599;0,4622641656;0,4622109677
