m;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;mean;variance;std_deviation;ci;ci_upper;ci_lower
4;0,000045;0,000034;0,000018;0,000018;0,000018;0,000019;0,000018;0,000017;0,000018;0,000017;0,000017;0,000017;0,000012;0,000013;0,000013;0,000013;0,000012;0,000013;0,000012;0,000012;0,000012;0,000013;0,000012;0,000012;0,000013;0,000013;0,000013;0,000013;0,000012;0,000012;0,00002;4,9067816091954E-11;7,00484233169841E-06;8,01959106124439E-08;1,61135292439458E-05;1,59531374227209E-05
5;0,000024;0,000023;0,000023;0,000022;0,000022;0,000023;0,000023;0,000023;0,000022;0,000023;0,000023;0,000023;0,000023;0,000023;0,000023;0,000022;0,000023;0,000023;0,000022;0,000024;0,000023;0,000023;0,000023;0,000022;0,000023;0,000023;0,000023;0,000022;0,000023;0,000023;0,00002;2,81609195402299E-13;5,30668630505233E-07;6,07543354177211E-09;2,28394087668751E-05;2,28272578997916E-05
6;0,000031;0,000037;0,000029;0,000029;0,000028;0,000028;0,000029;0,000029;0,000028;0,000028;0,000028;0,000028;0,000028;0,000028;0,000029;0,000029;0,000028;0,000028;0,000029;0,000029;0,000029;0,000031;0,000028;0,000028;0,000028;0,000029;0,000029;0,000028;0,000028;0,000028;0,00003;3,01609195402299E-12;1,73668994182122E-06;1,98827360760961E-08;2,88865494027428E-05;2,88467839305906E-05
7;0,000038;0,000035;0,000035;0,000036;0,000035;0,000036;0,000035;0,000035;0,000036;0,000036;0,000033;0,000035;0,000035;0,000035;0,000036;0,000035;0,000035;0,000035;0,000036;0,000035;0,000036;0,000035;0,000035;0,000035;0,000035;0,000035;0,000036;0,000036;0,000038;0,000035;0,00004;8,74712643678161E-13;9,35260735665815E-07;1,07074624674098E-08;0,000035444;3,54226258708659E-05
8;0,000045;0,000043;0,000043;0,000043;0,000043;0,000043;0,000043;0,000042;0,000043;0,000043;0,000042;0,000042;0,000043;0,000043;0,000043;0,000043;0,000042;0,000043;0,000043;0,000044;0,000042;0,000041;0,000042;0,000047;0,000043;0,000043;0,000044;0,000043;0,000042;0,000043;0,00004;1,1367816091954E-12;1,06619961038982E-06;1,22065343659366E-08;4,29788732010326E-05;4,29544601323007E-05
9;0,000052;0,000051;0,000051;0,000051;0,000051;0,000051;0,000051;0,00005;0,000051;0,000051;0,000051;0,000051;0,00005;0,000055;0,000051;0,000052;0,000051;0,000049;0,000052;0,000051;0,000051;0,000049;0,000051;0,00005;0,00005;0,000053;0,000056;0,00005;0,000051;0,000051;0,00005;2,07471264367816E-12;1,44038628279992E-06;1,64904624705243E-08;5,11831571291372E-05;5,11501762041961E-05
10;0,000063;0,000061;0,000062;0,000062;0,000064;0,000061;0,000061;0,000062;0,000059;0,00006;0,00006;0,000061;0,000059;0,000065;0,000061;0,000061;0,000059;0,000061;0,000061;0,000061;0,000061;0,000061;0,000062;0,000061;0,000063;0,00006;0,000062;0,000065;0,000058;0,000061;0,00006;2,61609195402299E-12;1,61743375568305E-06;1,85174150609122E-08;6,12851840817276E-05;6,12481492516057E-05
11;0,000073;0,000072;0,000072;0,000072;0,000071;0,000072;0,000072;0,000071;0,000072;0,000071;0,000072;0,000072;0,000076;0,000072;0,000072;0,000072;0,000069;0,000076;0,000071;0,000071;0,000071;0,00007;0,000072;0,00007;0,000071;0,000071;0,000071;0,000072;0,000072;0,000072;0,00007;1,97816091954023E-12;1,406471087346E-06;1,6102179643555E-08;7,17827688463102E-05;7,17505644870231E-05
12;0,000085;0,000084;0,00008;0,000082;0,000083;0,000084;0,000085;0,000083;0,000081;0,000082;0,000088;0,000083;0,000082;0,000081;0,000083;0,00008;0,000083;0,000084;0,000083;0,000081;0,000085;0,000079;0,000091;0,000079;0,000084;0,000082;0,000083;0,000081;0,000087;0,00008;0,00008;6,89195402298851E-12;2,6252531350307E-06;3,00555752410366E-08;8,29633889085743E-05;8,29032777580923E-05
13;0,000096;0,000096;0,000097;0,000101;0,000096;0,000096;0,000097;0,000096;0,000096;0,000099;0,000096;0,000094;0,000095;0,000097;0,000093;0,000096;0,000096;0,000093;0,000101;0,000097;0,000097;0,000095;0,000095;0,000097;0,000094;0,000099;0,000093;0,000097;0,000099;0,000094;0,00010;4,2712643678161E-12;2,06670374456914E-06;2,36609449454494E-08;9,62903276116121E-05;0,000096243
