round	alorithm1	algorithm2	algorithm3	algorithm4	algorithm5	algorithm6
1	0.000908	0.001658	0.00165	0.000552	0.001297	0.000695
2	0.000717	0.00144	0.00116	0.000442	0.000832	0.000405
3	0.000639	0.001278	0.001417	0.000507	0.001142	0.000615
4	0.00065	0.001325	0.001414	0.000498	0.001133	0.000602
5	0.000592	0.001188	0.001285	0.00047	0.001037	0.000566
6	0.000591	0.001186	0.001307	0.00045	0.001032	0.000564
7	0.000592	0.001144	0.001196	0.000417	0.000948	0.000519
8	0.000551	0.001089	0.001172	0.000419	0.000959	0.000514
9	0.000545	0.001086	0.001179	0.00042	0.000905	0.00048
10	0.000501	0.001006	0.001103	0.000388	0.000865	0.000455
11	0.000497	0.000957	0.00084	0.000341	0.000638	0.000286
12	0.000336	0.000773	0.000989	0.000418	0.000827	0.000426
13	0.000461	0.000722	0.000707	0.000265	0.000584	0.000298
14	0.000357	0.000643	0.000669	0.000255	0.000558	0.000283
15	0.000335	0.000658	0.000648	0.000246	0.000543	0.000281
16	0.00036	0.000628	0.000652	0.000249	0.000534	0.000266
17	0.000309	0.000601	0.000611	0.000231	0.000506	0.000263
18	0.000311	0.000593	0.000612	0.00023	0.000506	0.000263
19	0.000306	0.000581	0.000606	0.00023	0.000521	0.000294
20	0.000311	0.000585	0.000609	0.000232	0.000502	0.000262
21	0.000309	0.000584	0.000622	0.000216	0.000472	0.000248
22	0.000292	0.000549	0.000571	0.000218	0.000471	0.000246
23	0.000297	0.00055	0.000573	0.000219	0.000473	0.00025
24	0.000289	0.000604	0.000582	0.000221	0.000586	0.000328
25	0.000369	0.000607	0.000593	0.000224	0.000484	0.000253
26	0.000296	0.000574	0.000575	0.000204	0.000445	0.000233
27	0.000274	0.000518	0.000538	0.000203	0.000445	0.000243
28	0.00027	0.000517	0.000536	0.000208	0.000446	0.000233
29	0.000275	0.000516	0.00054	0.000204	0.000449	0.000234
30	0.000276	0.000516	0.000538	0.000205	0.000444	0.000232
